Experiment,System,Region,SubjectID,Condition,Hemisphere,Effect_Size,Modality,Task
Experiment1,MD,LH_postParietal,018_FED_20150817a_3T1,S,L,0.601663,visual,passive
Experiment1,MD,LH_postParietal,043_FED_20170630b_3T2,S,L,-0.302917,visual,passive
Experiment1,MD,LH_postParietal,045_FED_20160803a_3T1,S,L,-0.369481,visual,passive
Experiment1,MD,LH_postParietal,045_FED_20160817a_3T2,S,L,0.360973,visual,passive
Experiment1,MD,LH_postParietal,127_FED_20160331a_3T1,S,L,-0.193653,visual,passive
Experiment1,MD,LH_postParietal,143_FED_20160222a_3T2,S,L,0.036192,visual,passive
Experiment1,MD,LH_postParietal,168_FED_20160107b_3T2,S,L,0.0784,visual,passive
Experiment1,MD,LH_postParietal,175_FED_20160121a_3T2,S,L,0.838096,visual,passive
Experiment1,MD,LH_postParietal,179_FED_20160706b_3T1,S,L,0.094671,visual,passive
Experiment1,MD,LH_postParietal,215_FED_20150615d_3T2,S,L,-1.147629,visual,passive
Experiment1,MD,LH_postParietal,215_FED_20150729a_3T1,S,L,-0.379214,visual,passive
Experiment1,MD,LH_postParietal,224_FED_20160823b_3T1,S,L,-0.853214,visual,passive
Experiment1,MD,LH_postParietal,249_FED_20160817b_3T1,S,L,0.517456,visual,passive
Experiment1,MD,LH_postParietal,249_FED_20170110a_3T2,S,L,0.056239,visual,passive
Experiment1,MD,LH_postParietal,251_FED_20150828d_3T2,S,L,-0.519015,visual,passive
Experiment1,MD,LH_postParietal,262_FED_20160909a_3T2,S,L,-0.304549,visual,passive
Experiment1,MD,LH_postParietal,262_FED_20170118a_3T2,S,L,-0.008755,visual,passive
Experiment1,MD,LH_postParietal,271_FED_20150908a_3T2,S,L,-0.083679,visual,passive
Experiment1,MD,LH_postParietal,280_FED_20150811c_3T1,S,L,1.054924,visual,passive
Experiment1,MD,LH_postParietal,288_FED_20150613a_3T1,S,L,-0.558478,visual,passive
Experiment1,MD,LH_postParietal,288_FED_20170412b_3T2,S,L,-0.183212,visual,passive
Experiment1,MD,LH_postParietal,289_FED_20150613b_3T1,S,L,0.330622,visual,passive
Experiment1,MD,LH_postParietal,290_FED_20150615a_3T2,S,L,-0.261038,visual,passive
Experiment1,MD,LH_postParietal,290_FED_20170109b_3T2,S,L,0.018999,visual,passive
Experiment1,MD,LH_postParietal,290_FED_20170426a_3T2,S,L,-0.245094,visual,passive
Experiment1,MD,LH_postParietal,291_FED_20150615b_3T2,S,L,0.288661,visual,passive
Experiment1,MD,LH_postParietal,291_FED_20160523a_3T2,S,L,-0.112745,visual,passive
Experiment1,MD,LH_postParietal,292_FED_20150615c_3T2,S,L,0.253511,visual,passive
Experiment1,MD,LH_postParietal,293_FED_20150619a_3T2,S,L,-0.674493,visual,passive
Experiment1,MD,LH_postParietal,294_FED_20150619b_3T2,S,L,0.376613,visual,passive
Experiment1,MD,LH_postParietal,295_FED_20150625a_3T2,S,L,-1.078718,visual,passive
Experiment1,MD,LH_postParietal,296_FED_20150625b_3T2,S,L,1.249727,visual,passive
Experiment1,MD,LH_postParietal,296_FED_20150810a_3T1,S,L,0.787267,visual,passive
Experiment1,MD,LH_postParietal,297_FED_20150625c_3T2,S,L,0.238846,visual,passive
Experiment1,MD,LH_postParietal,298_FED_20150625d_3T2,S,L,-0.015118,visual,passive
Experiment1,MD,LH_postParietal,298_FED_20150810b_3T1,S,L,-0.333594,visual,passive
Experiment1,MD,LH_postParietal,299_FED_20150708a_3T2,S,L,0.01491,visual,passive
Experiment1,MD,LH_postParietal,300_FED_20150708b_3T2,S,L,0.134652,visual,passive
Experiment1,MD,LH_postParietal,301_FED_20150708c_3T2,S,L,-0.295568,visual,passive
Experiment1,MD,LH_postParietal,303_FED_20150709c_3T2,S,L,-0.074758,visual,passive
Experiment1,MD,LH_postParietal,304_FED_20150710a_3T2,S,L,0.066948,visual,passive
Experiment1,MD,LH_postParietal,305_FED_20150710b_3T2,S,L,0.333578,visual,passive
Experiment1,MD,LH_postParietal,306_FED_20150715a_3T2,S,L,0.593394,visual,passive
Experiment1,MD,LH_postParietal,307_FED_20150715d_3T2,S,L,0.016407,visual,passive
Experiment1,MD,LH_postParietal,308_FED_20150716a_3T2,S,L,-1.003543,visual,passive
Experiment1,MD,LH_postParietal,309_FED_20150717a_3T2,S,L,-1.152938,visual,passive
Experiment1,MD,LH_postParietal,310_FED_20150617a_3T2,S,L,0.386164,visual,passive
Experiment1,MD,LH_postParietal,311_FED_20150617b_3T2,S,L,0.489981,visual,passive
Experiment1,MD,LH_postParietal,319_FED_20150624a_3T2,S,L,-0.07781,visual,passive
Experiment1,MD,LH_postParietal,320_FED_20150624c_3T2,S,L,0.766015,visual,passive
Experiment1,MD,LH_postParietal,321_FED_20150819a_3T1,S,L,-0.818461,visual,passive
Experiment1,MD,LH_postParietal,322_FED_20150820a_3T2,S,L,0.629008,visual,passive
Experiment1,MD,LH_postParietal,323_FED_20150823_3T2,S,L,0.75049,visual,passive
Experiment1,MD,LH_postParietal,324_FED_20150827a_3T2,S,L,-0.572039,visual,passive
Experiment1,MD,LH_postParietal,325_FED_20150827b_3T2,S,L,-0.62397,visual,passive
Experiment1,MD,LH_postParietal,326_FED_20150828c_3T2,S,L,-0.757815,visual,passive
Experiment1,MD,LH_postParietal,326_FED_20160523e_3T2,S,L,-0.484824,visual,passive
Experiment1,MD,LH_postParietal,327_FED_20150923b_3T2,S,L,0.568624,visual,passive
Experiment1,MD,LH_postParietal,328_FED_20151106b_3T1,S,L,0.761377,visual,passive
Experiment1,MD,LH_postParietal,329_FED_20151109a_3T1,S,L,-0.737492,visual,passive
Experiment1,MD,LH_postParietal,330_FED_20151111a_3T1,S,L,-0.752467,visual,passive
Experiment1,MD,LH_postParietal,331_FED_20151111c_3T1,S,L,0.590021,visual,passive
Experiment1,MD,LH_postParietal,332_FED_20151113a_3T1,S,L,-0.967077,visual,passive
Experiment1,MD,LH_postParietal,333_FED_20151119a_3T1,S,L,-0.365058,visual,passive
Experiment1,MD,LH_postParietal,334_FED_20151119a_3T2,S,L,0.098927,visual,passive
Experiment1,MD,LH_postParietal,335_FED_20151120a_3T1,S,L,-0.210046,visual,passive
Experiment1,MD,LH_postParietal,336_FED_20151212_3T1,S,L,-0.364891,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20151215c_3T2,S,L,-0.514432,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20160112a_3T2,S,L,-1.967595,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20170113b_3T2,S,L,-0.164152,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20170614b_3T2,S,L,0.401166,visual,passive
Experiment1,MD,LH_postParietal,339_FED_20151217a_3T2,S,L,-1.315105,visual,passive
Experiment1,MD,LH_postParietal,340_FED_20151217b_3T2,S,L,-0.401693,visual,passive
Experiment1,MD,LH_postParietal,341_FED_20151217c_3T2,S,L,-0.279459,visual,passive
Experiment1,MD,LH_postParietal,342_FED_20160105c_3T2,S,L,0.692757,visual,passive
Experiment1,MD,LH_postParietal,343_FED_20160107a_3T2,S,L,1.627632,visual,passive
Experiment1,MD,LH_postParietal,344_FED_20160107e_3T2,S,L,0.579943,visual,passive
